TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
891827.3428,729089.7334,20050.01587,21730.89093,552905.1855,390694.3501,11096.23349,9286.347199,176589.9827,96452.5542
0,0,0,0,0,0,0,0,0,0
1478374.371,1168473.767,87423.55157,74604.03204,884744.1903,615944.6383,33542.27509,24244.86231,293904.6223,167447.3204
188169.6709,143901.1521,10002.54129,7506.409057,111554.9685,71492.90912,3743.601135,1442.176941,44361.81989,22541.91104
470892.0034,375191.8057,14359.64929,13732.24728,308425.8458,208425.8658,8104.941528,3418.673676,87041.21283,54690.75195
618279.8022,492652.4646,33486.19974,28487.00104,378839.9426,263087.4919,11482.92586,10033.2442,118586.7498,62900.1322
0,0,0,0,0,0,0,0,0,0
229474.3789,187396.9998,5726.314941,7208.001984,143245.4517,96861.78174,3438.80365,1304.156586,46973.15753,26137.53095
377313.3418,288439.8511,12612.7666,15109.88751,219698.7769,139977.0474,8363.589966,3097.67929,76266.92285,39658.54639
384649.5039,309963.0409,9297.138732,13312.00745,228867.4102,164272.483,7646.086274,1954.282837,74445.27796,41296.1271
115267.4883,90478.03711,7869.949707,5436.583435,76632.77539,47216.97559,2411.661499,1502.731568,20938.29053,13522.79858
246775.5928,208181.7268,14159.01911,10063.82211,153266.5132,111252.8542,5540.974243,3639.341034,46258.75897,26254.30011
2665.344482,3093.980713,50,50,2610.797119,975.243835,50,50,50,50
446922.752,364793.5867,24869.858,15714.46545,283364.6918,201631.7524,7545.445678,4228.268554,85638.4292,46625.29828
677655.0398,580717.2441,36019.65414,30022.43829,433243.5797,322413.9525,12549.87851,8863.576721,134802.8156,75743.63394
192364.168,147537.0586,8594.028809,4660.391236,117428.9453,80234.00781,3435.466003,2055.760986,37276.2793,22391.4126
1930.972778,1409.030273,50,50,1930.837891,1233.885742,50,50,50,50
5280.475586,3264.343994,50,50,3082.554688,925.21051,50,50,852.345215,50
617004.9712,531443.1421,24442.16779,31725.53613,408369.936,306700.7234,18058.49695,6792.306641,128532.6713,75355.34881
1808285.252,1366721.792,112746.8636,76781.20502,1044712.42,688271.5546,49575.50937,25865.8783,358529.0956,202685.4997
73237.55469,61193.24414,4882.047974,3169.960693,44632.98145,29742.98828,2775.430237,910.662537,13545.68701,7911.55481
99531.11914,82384.25488,6974.808594,4965.292969,58210.5625,39558.01123,2910.469971,940.853394,23301.38745,12175.31183
605029.0183,481181.1748,35666.02869,23188.69745,370170.6785,252700.68,13483.29272,5702.717895,108263.8115,69250.0481
599314.2178,508022.3782,27732.90854,32820.72254,388150.0342,272916.4623,14510.59436,8541.112242,116255.0824,68713.07984
45351.0625,33211.24609,5336.720306,2078.404358,24675.29688,17288.94629,776.166504,431.741943,9071.945801,4580.889038
0,0,0,0,0,0,0,0,0,0
401187.457,322725.3555,19309.56342,16406.711,249536.6709,172103.8662,7788.461274,5665.420198,83881.94971,44298.34399
636940.1301,532974.6738,28091.59552,29719.14868,412280.4246,292335.9155,9570.320955,9305.839539,126716.6738,74265.67389
25002.89624,17843.76758,477.981537,1165.733216,12872.42407,7907.927247,406.954437,50,4758.625,3267.847748
60527.43164,50896.17334,414.278656,2253.630402,37171.38379,27654.74683,735.797302,616.969849,12558.0592,5932.943482
2394958.133,1946951.18,93486.39975,108394.6193,1495677.812,1055018.244,61171.35382,34158.2915,501791.6644,267345.532
67023.45312,41500.26563,3947.562073,3372.067688,31186.875,20750.78809,50,705.481506,17960.2898,7310.716125
275094.0051,225567.7019,15039.26685,12356.79895,174536.8806,124648.7122,6509.987243,3868.169251,56363.34766,26308.4661
467712.3445,362131.8755,31660.01184,22579.89633,281532.7662,202999.3016,12822.83517,6651.114136,93739.14877,52563.28723
205405.897,156990.5928,7869.376557,6541.821411,120771.0623,85906.53076,4928.999511,2329.139648,36590.08374,21795.83911
435743.8755,377704.9861,27106.99225,20266.52295,279756.0874,209003.32,11569.97668,8754.432982,79289.4519,48973.56091
43504.1748,35823.36133,3941.784424,1891.507325,30544.81934,19782.45654,1296.714783,441.923187,10127.13037,5343.958984
16718.62012,10587.12549,50,50,10719.59302,7089.694091,50,50,1873.121949,576.970215
276557.958,238185.9482,7294.045593,7140.889954,171111.4395,113705.5881,6100.747376,2651.642273,55003.17365,29985.14899
130942.2426,109486.2725,10930.38522,7986.007141,89180.21228,57134.60187,4544.618958,2927.10498,31673.0188,13259.04755
405298.4336,361568.0483,11918.83813,18656.35992,254253.9509,197718.4526,5377.132088,8854.934814,88700.42737,48163.80811
467094.7676,391492.752,30388.18726,19862.45029,296604.7424,210697.0743,11403.68994,6575.716461,84165.41657,53777.52759
574592.6414,429905.9771,39317.82019,25634.34903,348998.8466,234705.2242,19522.28961,8608.593139,110722.6974,58673.43573
1656542.979,1281584.562,82341.65463,66032.12848,986885.4348,656552.0637,40409.93628,19847.91595,336033.0298,189614.0593
21963.80664,19961.44727,570.452881,416.983704,15257.63232,9320.361572,50,50,4247.075196,1580.444946
557815.4941,450431.2927,17620.81938,28532.94531,348131.8639,259700.2379,11366.30868,8795.254333,112081.0066,60834.15442
99436.02539,81269.88086,6233.463134,5907.612793,62901.66895,44624.39258,2653.246368,566.041931,19101.36206,12653.53235
278280.7949,249800.2434,20388.09482,19037.20135,190899.5511,150418.1626,8959.986084,4745.037964,58588.01913,31654.28992
101720.6934,81931.39844,7325.914429,4451.179443,64346.24219,48726.43066,2894.957947,2455.956787,20789.83399,12029.94727
150115.5552,162298.6748,8146.776917,8689.001281,116460.0244,103756.9214,3143.080597,1137.125366,30000.75952,15703.66931
865173.0527,704332.7947,44391.84778,39674.5896,540628.3015,380041.4822,24702.95078,11574.48297,171609.0319,94022.49744
187940.0859,139920.6782,578.385803,4568.726562,112088.6655,72158.46631,3057.359619,2525.306885,33587.50708,18337.18335
25566.9375,22062.29932,825.663696,1129.153442,17126.11426,11966.66309,50,50,6728.890381,2696.944275
34681.98193,25776.46289,1005.536194,550.308167,19767.16162,12482.04565,50,50,7908.613526,4076.160584
1887793.932,1521638.35,96378.88888,73787.90527,1154908.229,813637.7967,44754.0841,28256.37854,384609.619,214738.8831
33834.89551,27631.18359,506.087219,801.1203,21468.37012,18627.04883,779.52832,50,7780.016846,3252.230469
63917.84961,50236.66016,5794.933106,3299.082946,34445.71582,23201.39795,1692.909057,1210.334045,11236.97632,6205.071105
4952.980469,3551.694336,50,50,2510.399414,902.868347,50,50,462.346558,50
271249.8042,219375.3748,16137.75153,10727.40338,172534.5409,123782.9907,5938.334473,4329.609863,51940.05041,29137.45435
1352146.86,1087940.751,70881.81128,65517.10724,842166.6454,613104.4612,12445.56091,21334.66306,283628.3593,147876.7263
65672.8418,54663.21924,3719.828156,3131.158875,44412.8855,30148.31885,428.997711,50,12584.09692,8764.397063
13365.70386,12455.65576,50,50,8491.033448,5180.602906,50,50,875.422424,50
669646.7605,507526.1877,46733.79111,30843.99759,391122.408,250109.4082,19502.03192,8840.075624,129567.791,78805.3847
146455.2134,120221.6553,4538.445006,8206.292786,96682.01563,66134.58936,4326.916931,2852.167664,30143.18524,16747.86865
461528.4741,374337.5051,15106.58472,11912.57129,278027.4017,199100.1537,7949.255127,4394.748229,90892.37802,50037.9151
10070.39844,11870.90967,50,50,5610.846679,5367.70166,441.517212,50,50,608.502075
111186.1875,90626.66065,4550.282532,3351.212769,67000.01477,44915.59503,50,1080.596375,20532.00656,9671.419922
15642.98901,10879.33606,50,723.675964,9436.897583,6963.164917,50,50,1031.259888,674.765076
317919.6689,256024.3474,27410.6759,18484.60025,195380.0618,134811.041,12236.52246,5809.785583,66294.35889,35996.20697
3235862.815,2455123.965,152424.8238,147675.3161,1894627.255,1278298.087,73671.72159,58387.84778,671586.2086,367826.9684
24558.00293,25184.38818,2100.19873,852.575806,16433.979,11934.66718,50,595.430176,4863.863282,2503.355225
395733.6543,337134.8682,21989.81995,15098.70828,247895.9954,178720.9512,5588.757995,5256.866609,74027.38159,40422.7363
82938.32617,73481.21094,5176.416504,3388.996765,56978.50488,44889.46094,1759.831238,2277.756135,19327.90576,9309.837281
5706.724609,2991.477295,493.431824,50,2843.86792,1027.44397,50,50,738.989868,897.945129
7568.627686,7682.654052,405.298218,50,5290.651611,3275.672973,50,50,1201.195312,565.480469
114038.6431,92633.39014,4145.425079,4884.4339,71036.0332,51775.70361,1820.75885,1287.272522,21208.68268,11795.73773
182330.752,138071.3359,5242.108276,2196.561401,106191.3623,76094.07324,647.724182,1220.936249,37603.62695,16138.79126
162501.5168,143206.7693,3399.423584,5515.148438,103727.2627,78739.7677,3919.19043,836.162842,32752.41107,18415.66449
78451.13477,59050.31445,4574.296814,2078.380951,45147.17676,27736.92383,843.937012,572.372803,15628.66113,6325.243896
340691.4434,289836.8574,21967.81854,13887.93146,220103.4053,168188.1318,8951.329833,5868.52002,65978.9292,33491.34644
133686.9102,95835.63574,8744.717773,5984.723633,81616.00391,49542.20581,4649.397949,2760.128174,29445.37439,17060.99628
