TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
7176.040039,5580.030762,0,0,4719.896484,4324.975586,564.657898,0,2598.150635,646.177185
0,0,0,0,0,0,0,0,0,0
38212.70703,28201.57227,4292.950684,954.774292,21437.13477,19193.89453,1220.997437,555.86261,8569.358398,3941.276611
28236.69336,20749.33789,643.55127,0,18138.87305,11864.29688,0,0,5640.895996,3218.088135
0,0,0,0,0,0,0,0,0,0
305419.5781,222894.0625,7048.871582,9144.505371,172624.4531,122048.0273,6233.516358,3242.762451,59857.67383,29357.74414
0,0,0,0,0,0,0,0,0,0
89710.79297,62296.76563,6225.151367,3794.889648,55472.8584,34132.01953,2636.175445,614.171692,21719.71143,10935.6023
0,0,0,0,0,0,0,0,0,0
8182.397949,7767.433594,616.305115,433.805298,5255.051758,4552.223145,0,0,1071.488892,0
0,0,0,0,0,0,0,0,0,0
63512.91797,51753.14844,4653.804199,4138.821777,39584.5,26983.71094,2780.733398,1192.980957,14117.47852,6814.970703
2651.695068,2041.251587,0,0,1257.601074,744.802307,0,0,0,0
69737.07031,56909.02734,4362.121582,3504.023926,42404.94922,32244.53906,951.106812,1211.609741,15083.0957,7256.527832
17827.38281,16039.68945,1234.616577,1814.36792,11384.14258,7135.436523,631.205078,451.015594,2908.513428,1950.466919
21570.51172,17687.56641,2387.153564,865.338989,12706.93555,8298.580078,0,0,4371.417969,3066.554932
0,0,0,0,0,0,0,0,0,0
17865.15625,16072.97168,1054.739258,465.958313,11384.84766,8046.936523,0,521.141052,3738.949463,2172.938477
59391.64453,81291.75,3379.831299,4672.519531,51004.25391,62159.90625,2717.760498,2306.061279,11060.12012,6819.654297
0,0,0,0,0,0,0,0,0,0
53133.42578,45051.42578,3266.075439,3395.447021,35906.40234,25701.71875,1152.906616,691.349854,10564.43555,7272.43457
5604.819824,7065.795898,482.993286,0,4414.95752,3351.398438,0,0,948.603516,865.389038
28393.04688,21829.37891,849.521057,766.15332,18894.56445,13495.42773,571.916443,0,4658.228516,4179.568359
46705.80469,36758.19141,1021.342346,735.234131,26661.77344,20601.5,473.922333,0,9276.902344,5384.92627
0,0,0,0,0,0,0,0,0,0
12437.58984,10876.79102,0,0,7643.498535,5139.728027,0,0,2945.362793,792.896118
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
11387.56543,9244.253906,0,0,7490.07959,4175.099609,0,0,582.363464,954.208191
9607.944336,9343.244141,416.303558,653.553406,6524.799805,4308.692871,580.869873,0,1859.874023,948.791199
0,0,0,0,0,0,0,0,0,0
13749.21777,9736.741211,526.975037,0,5770.302246,3951.008301,0,0,1974.84729,941.489563
7819.814941,5614.377441,0,439.608887,4246.348145,3649.529785,458.420166,0,570.603394,0
12522.49316,42882.58203,1128.570801,5948.637695,21864.08398,7944.123535,0,0,2804.777832,5859.01709
20942.55078,19325.77148,1095.990845,1265.700439,14335.45215,9982.12207,0,0,4084.102051,2635.89502
85995.64844,78464.20117,4394.599732,4555.476318,56990.35156,39325.98535,707.806885,0,16770.2583,9430.747315
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
14882.44434,12622.86621,820.21991,622.147034,9028.962891,7153.966797,679.987915,0,2487.160645,450.140228
23629.56055,19494.54688,402.3302,642.537781,16113.39551,10995.57617,0,0,4631.957031,2468.906738
16101.48047,14775.89648,1113.454834,1061.348999,12202.75879,9142.586914,395.812439,0,4206.550293,2608.034668
19812.22656,15933.76172,1037.669067,615.439392,13891.64844,9055.433594,0,482.134674,4223.01123,1115.13562
0,0,0,0,0,0,0,0,0,0
26264.79688,24376.64453,2590.134277,2368.329834,17728.95117,13166.75586,1015.077759,762.170776,5228.664551,2647.464111
4905.38623,4088.814209,0,0,3134.54126,1997.934448,0,0,0,0
4912.702148,3870.494873,494.023926,489.209015,1197.375854,2456.791504,0,0,712.406921,0
5365.230469,3980.03125,0,0,2588.306396,2258.939209,0,0,1175.768311,576.785156
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
