Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
P0A6P5,189310,193760,188730,211550,215210,192240,213270,209900,191730,213310
P0A6P7,53968,51508,50525,55973,61152,53366,60082,60807,55318,56622
P0A6P9,308080,345330,335930,356930,398680,333740,377130,378570,353020,339120
P0A6Q3,133040,122750,130520,147790,153450,129130,153240,148320,126510,118270
P0A6Q6,85946,99596,83173,102710,115600,90154,108850,107770,98324,93787
P0A6R0,62162,81526,62989,75956,99477,69094,81400,79895,77302,68135
P0A6R3,2809.6,2778.4,2580.2,3202.5,3638.2,3396.4,3418.2,3064.1,3433.8,3378.2
P0A6S0,8463.8,9913.9,8284.5,11055,11845,9271.8,10261,10554,9668.6,9681.3
P0A6S7,61451,66942,60099,72267,75592,64172,70495,73785,65401,64437
P0A6T1,274930,252460,266270,292180,301810,261710,303670,297320,263200,272040
P0A6T5,61253,64013,62847,76834,77057,68652,73241,75257,63389,69853
P0A6T9,9256.2,12344,10141,11058,11422,9973.1,10926,10906,10350,10498
P0A6U3,67779,64681,64511,76897,81113,68399,79755,75643,67531,68418
P0A6U5,7829.5,7755.3,7732.1,10279,10359,8174.8,9399.4,9840.7,9002,8325.7
P0A6U8,53553,46467,47130,58315,59690,47897,61194,57197,49372,53220
P0A6V1,131170,123810,123680,141340,151430,130220,153680,146360,130310,139210
P0A6V8,36992,36985,38252,42723,44154,36527,45464,42689,39408,40282
P0A6W0,14265,13771,16299,17372,18720,14622,17303,16216,15677,14400
P0A6W3,2689,3197.7,2416.8,3471.5,3059.7,2541.9,2943.5,2878.5,3459.9,3388.7
P0A6W5,59975,81510,61964,75404,91579,68991,74959,76033,75209,64983
P0A6W9,143590,138890,133410,152610,160110,132880,165240,155380,137420,136790
P0A6X3,16898,22923,19646,24070,25762,25172,23653,22483,21017,24368
P0A6X7,203580,222120,212940,208490,233190,218620,247020,239600,241920,241890
P0A6Y1,61643,64335,65488,65084,66692,64567,76260,75161,71104,67150
P0A6Y5,21613,29304,23121,29769,31934,22169,29179,28549,28666,25543
P0A6Y8,774130,1028900,819580,928540,1130100,886720,981810,992780,936500,836420
P0A6Z1,52556,68581,55929,63542,80058,58822,71709,69716,66899,57651
P0A6Z3,436560,570750,463330,517250,628250,483270,548340,549930,539880,476930
P0A6Z6,7016.9,9380.8,7454,7992,12171,6201.3,9180.7,7990.7,7063.8,8330.4
P0A705,550080,543090,538200,583280,617900,542440,616910,606420,553780,601530
P0A707,223970,213480,237070,249950,257370,242790,267970,255630,243410,238300
P0A715,226470,228990,223340,246670,277070,220200,269340,261950,234640,212770
P0A717,224500,230590,216800,250870,277330,217100,268290,254340,224750,216930
P0A720,10743,14266,10855,13548,15641,10911,14924,13453,13684,12676
P0A722,74283,68242,67764,84488,86400,69985,85159,80346,68617,70008
P0A725,32209,33299,32119,34994,36794,30577,38192,36753,32022,34360
P0A729,34727,41827,33017,42246,48672,36252,43007,42602,39362,33813
P0A731,2823.6,3199.6,2357.8,3425.1,3997.1,2920.6,3579.3,3390.3,3099.1,3693.2
P0A734,35987,39823,36543,42975,49925,41427,47062,45992,44038,43612
P0A738,16618,23045,17123,21825,24927,18315,21741,22940,21194,19125
P0A742,14348,13257,13566,16412,15719,14840,16616,16331,15194,15489
P0A744,16098,18558,16993,18142,22278,17244,19072,18287,18884,15245
P0A746,11462,14070,12679,13705,15256,11510,15442,13908,13476,10846
P0A749,107080,120150,101100,121180,138580,100440,123900,123530,113870,108040
P0A752,8620.7,10043,8996.1,9533.5,12034,8727.9,10021,10142,9772.8,8972
P0A756,5084.8,5108,4445.7,5393.8,5699.9,4959,5862.4,5618,4956.1,4998.9
P0A759,60823,62525,62466,72398,74913,61767,72162,72215,62058,64572
P0A761,18088,25979,18235,21252,27158,19807,23144,22650,21539,22309
P0A763,26710,35897,32295,33325,41983,29070,35710,36034,35847,30925
P0A776,5660.8,5331.8,5173.7,6000.5,6175.9,5090.6,6012.7,5902.8,5693.9,6045.7
P0A780,86442,106070,96910,107170,120400,98513,113720,112810,103750,99838
P0A784,35182,41902,34565,43362,51449,36179,46553,43531,42560,36245
P0A786,59017,60431,63242,68715,73786,55982,69651,69772,62376,61328
P0A790,15484,13200,11869,13600,13173,13034,13563,12649,11818,14186
P0A794,38797,53794,40376,48655,60956,42087,50248,52335,47533,42578
P0A796,90837,102570,87699,107250,125850,89133,110810,114870,98242,93017
P0A799,422660,525800,412160,508500,640540,438570,567880,550720,496700,419240
P0A7A2,30472,31645,28403,31984,39994,28174,36537,34927,31466,26704
P0A7A5,36158,35195,35031,37612,42038,35860,42015,41424,38261,38625
P0A7A7,152620,141130,141850,159460,159300,144830,164320,159810,147590,150300
P0A7A9,140880,199410,149920,178400,221770,159620,182890,182160,169460,152300
P0A7B1,198350,185190,192490,217150,219880,190950,225970,216460,194860,207190
P0A7B3,7124.8,7718.1,7806.2,8853,8593.1,7225.3,9577.2,9398.6,8313.5,8159.4
P0A7B8,115100,125710,123680,137650,141090,125570,136770,141300,129940,131160
P0A7C2,24854,27307,23435,28091,31631,25300,27614,29441,27181,28182
P0A7C6,3767.1,4013.9,3790.5,3985,4631.8,4075.1,5026.2,4693.4,4051.4,4222.2
P0A7D1,55103,59011,58722,63229,67419,61749,64792,65569,57783,58483
P0A7D4,235430,246860,223910,262600,287620,227460,281430,269570,240180,227130
P0A7D7,90385,117540,86862,107260,134600,91832,119770,116140,105310,92391
P0A7E1,23003,23777,21115,26408,28631,25990,28902,27602,24774,24396
P0A7E3,16342,20212,17741,20891,23245,18023,23201,21761,20225,18247
P0A7E5,324050,329110,312420,367650,393580,312110,378230,369980,325010,342010
P0A7E9,46053,44178,46656,53185,53155,49887,59786,52492,48695,42972
P0A7F3,85483,105770,84773,102510,115990,94091,104860,105490,98352,86927
P0A7F6,5105,7081.5,5512.8,6055.1,7414.5,6094.6,6756.5,7906,5679.8,5869.1
P0A7F9,7612.1,9473.9,7282.5,9230.2,10184,7934.1,9155.1,9440.3,8927.5,8343.4
P0A7G2,71936,80024,75912,84578,88577,81285,85941,88066,80148,85219
P0A7G6,138200,136860,132690,146810,155440,130760,156160,148950,132070,146410
P0A7H0,3637.9,3358,3819.8,4715.1,4685,4402.1,4924.1,4612.9,4608.5,5389.4
P0A7H6,16950,18634,16575,19580,21134,18297,20710,21555,18559,16852
P0A7I0,80709,84186,80641,92228,97308,84865,90616,91958,88148,91038
P0A7I4,164650,159300,162580,183650,191910,163440,190780,180530,164480,165380
P0A7I7,71690,90685,73643,84376,100610,46164,93332,87123,83249,69939
P0A7J0,20495,27238,20395,25318,29472,22389,25931,25697,23552,20869
P0A7J3,317290,346290,306820,360180,363620,330020,373910,381680,325750,336180
P0A7J7,261510,245220,272940,309660,299110,278630,311690,297830,273290,288320
P0A7K2,231520,292810,251580,277990,340270,255660,293010,283350,277230,238580
P0A7K6,176790,153480,176420,190990,188080,170870,196350,190200,176170,187710
P0A7L0,314710,293750,312320,345270,345120,326400,359780,348370,318790,332920
P0A7L3,235400,215480,240810,261700,259870,248580,263770,264690,240700,253840
P0A7L8,163470,153140,159770,182640,175670,174630,164230,192020,174560,198740
P0A7M2,264040,241730,267080,284600,275700,268270,290370,286510,263740,288670
P0A7M6,25955,27327,27466,30268,35752,27748,34149,33113,31774,30231
P0A7M9,74234,80540,78233,82059,87664,79922,89620,86105,84273,79500
P0A7N4,15915,12303,16757,45936,21535,15875,83873,16861,18035,20100
P0A7N9,8722.5,9454.6,10361,8859.2,11217,9184,10612,10955,10404,9730.5
P0A7P5,22511,21343,22239,23137,20210,22504,25311,24516,23747,23852
P0A7Q1,751.05,432.02,448.64,619.65,461.54,591.5,672.45,600.14,742.21,650.76
P0A7Q6,90612,85959,91235,94539,92801,91595,93110,96095,88343,92740
P0A7R1,209350,263840,218980,260290,295500,239520,269530,265080,255770,235080
P0A7R5,183090,185870,181510,203600,215710,186670,214790,212920,186840,178440
P0A7R9,102460,100940,103810,114950,115870,110080,118120,114820,109430,120360
